Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2016,TN,Tennessee,Nashville,Census Tract,BRFSS,Health Outcomes,4752006-47037018407,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,7.20,4.40,11.80,,,3813,"(36.0655938524, -86.9777719034)",HLTHOUT,TEETHLOST,4752006,47037018407,Teeth Loss
2016,TN,Tennessee,Memphis,Census Tract,BRFSS,Health Outcomes,4748000-47157022322,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,22.00,14.90,30.70,,,4197,"(35.0279594375, -90.0550087245)",HLTHOUT,TEETHLOST,4748000,47157022322,Teeth Loss
2016,TN,Tennessee,Memphis,Census Tract,BRFSS,Health Outcomes,4748000-47157022111,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,27.20,18.40,37.00,,,5742,"(35.0283164719, -90.0262104196)",HLTHOUT,TEETHLOST,4748000,47157022111,Teeth Loss
2016,TN,Tennessee,Knoxville,Census Tract,BRFSS,Health Outcomes,4740000-47093004614,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,10.10,6.30,14.80,,,2338,"(35.9477104912, -84.0481245366)",HLTHOUT,TEETHLOST,4740000,47093004614,Teeth Loss
2016,TN,Tennessee,Nashville,Census Tract,BRFSS,Health Outcomes,4752006-47037011400,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,19.20,14.20,24.50,,,4461,"(36.1985224304, -86.7337794886)",HLTHOUT,TEETHLOST,4752006,47037011400,Teeth Loss
2016,TN,Tennessee,Memphis,Census Tract,BRFSS,Health Outcomes,4748000-47157005000,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,42.40,33.50,51.60,,,1074,"(35.1214284589, -90.0510709047)",HLTHOUT,TEETHLOST,4748000,47157005000,Teeth Loss
2016,TN,Tennessee,Memphis,Census Tract,BRFSS,Health Outcomes,4748000-47157003900,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,34.10,23.20,45.20,,,1184,"(35.144273538, -90.0385689276)",HLTHOUT,TEETHLOST,4748000,47157003900,Teeth Loss
2016,TN,Tennessee,Knoxville,Census Tract,BRFSS,Health Outcomes,4740000-47093006900,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,29.30,21.50,37.40,,,6649,"(35.9600796074, -83.936075302)",HLTHOUT,TEETHLOST,4740000,47093006900,Teeth Loss
2016,TN,Tennessee,Memphis,Census Tract,BRFSS,Health Outcomes,4748000-47157009800,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,25.70,16.30,35.30,,,3110,"(35.158879497, -89.8968833402)",HLTHOUT,TEETHLOST,4748000,47157009800,Teeth Loss
2016,TN,Tennessee,Nashville,Census Tract,BRFSS,Health Outcomes,4752006-47037019111,All teeth lost among adults aged >=65 Years,%,CrdPrv,Crude prevalence,15.20,10.30,20.60,,,4163,"(36.049231748, -86.6797916232)",HLTHOUT,TEETHLOST,4752006,47037019111,Teeth Loss
