county,population,over65,pop_per_over_65,poverty_rate,pv_rate_per,num_ove_65_below_pov,pct_above_65_and_below_pov,without_car,sixtyfiveplus_per_growth_between_2019_2030,per_tot_pop_sixtyfiveplus_by_2030,veterans,per_african_american,minority_calls
Anderson,"76,978",16259,0.2112,16.5,0.165,2683,0.034854114,0.1,0.2,0.25,0.22,4,15
Bedford,"49,713",7920,0.1593,14.4,0.144,1140,0.022931628,0.06,0.34,0.19,0.22,8.4,104
Benton,"16,160",3877,0.2399,19.2,0.192,744,0.046039604,0.09,0.11,0.28,0.25,2.5,2
Bledsoe,"15,064",2880,0.1912,26.7,0.267,769,0.051048858,0.08,0.26,0.23,0.19,7.1,
Blount,"133,088",27718,0.2083,9.9,0.099,2744,0.020617937,0.05,0.3,0.25,0.22,3,51
Bradley,"108,110",18798,0.1739,14.7,0.147,2763,0.025557303,0.08,0.28,0.21,0.2,5.2,280
Campbell,"39,842",8501,0.2134,21.6,0.216,1836,0.046082024,0.12,0.17,0.25,0.21,0.5,
Cannon,"14,678",2834,0.1931,14.2,0.142,402,0.027387928,0.1,0.27,0.25,0.2,1.8,2
Carroll,"27,767",6024,0.2169,18.6,0.186,1120,0.04033565,0.12,0.12,0.25,0.17,10.2,
Carter,"56,391",12605,0.2235,19.1,0.191,2408,0.04270185,0.1,0.17,0.28,0.23,1.6,7
Cheatham,"40,667",6564,0.1614,10.3,0.103,676,0.016622815,0.06,0.36,0.22,0.21,2,23
Chester,"17,297",3271,0.1891,15.9,0.159,520,0.030063017,0.09,0.26,0.22,0.17,9.5,1
Claiborne,"31,959",6681,0.209,23.4,0.234,1563,0.048906411,0.08,0.22,0.26,0.16,1.2,7
Clay,"7,615",1989,0.2612,21,0.21,418,0.054891661,0.06,0.12,0.31,0.15,1.6,
Cocke,"36,004",7792,0.2164,22.5,0.225,1753,0.048689035,0.08,0.21,0.27,0.18,2.1,40
Coffee,"56,520",10156,0.1797,15.9,0.159,1615,0.028573956,0.08,0.23,0.21,0.23,3.9,22
Crockett,"14,230",2800,0.1968,19.4,0.194,543,0.038158819,0.09,0.18,0.23,0.16,14.3,1
Cumberland,"60,520",18881,0.312,14.4,0.144,2719,0.044927297,0.07,0.23,0.35,0.28,0.7,
Davidson,"694,144",87046,0.1254,15.4,0.154,13405,0.019311555,0.12,0.29,0.14,0.2,27.7,4335
Decatur,"11,663",2915,0.2499,18.2,0.182,531,0.045528595,0.07,0.15,0.29,0.19,3,2
DeKalb,"20,490",3881,0.1894,17.4,0.174,675,0.032942899,0.09,0.26,0.24,0.16,2,1
Dickson,"53,948",9150,0.1696,13.8,0.138,1263,0.023411433,0.08,0.35,0.21,0.22,4.1,3
Dyer,"37,159",6890,0.1854,18.4,0.184,1268,0.034123631,0.09,0.16,0.21,0.19,14.3,11
Fayette,"41,133",9110,0.2215,13.1,0.131,1193,0.029003477,0.06,0.37,0.27,0.19,27.7,39
Fentress,"18,523",4211,0.2273,20.6,0.206,867,0.046806673,0.11,0.22,0.28,0.17,0.5,19
Franklin,"42,208",8874,0.2102,16,0.16,1420,0.033642911,0.08,0.2,0.25,0.26,5.2,
Gibson,"49,133",9462,0.1926,16.5,0.165,1561,0.031770908,0.09,0.17,0.21,0.18,18.1,
Giles,"29,464",6192,0.2102,14.5,0.145,898,0.030477871,0.09,0.18,0.26,0.2,10.4,54
Grainger,"23,320",4936,0.2117,18.4,0.184,908,0.038936535,0.05,0.26,0.26,0.17,1,
